,Country,Nombre,log
0,China,232,2.367355921026019
1,France,152,2.184691430817599
2,Germany,94,1.9777236052888478
3,Italy,94,1.9777236052888478
4,Japan,43,1.6434526764861874
5,South Korea,32,1.5185139398778875
6,Netherlands,50,1.7075701760979363
7,Singapore,12,1.1139433523068367
8,Spain,184,2.2671717284030137
9,Sweden,34,1.5440680443502757
10,Switzerland,21,1.3424226808222062
11,Taiwan,8,0.9542425094393249
12,United Kingdom,125,2.100370545117563
13,United States,502,2.7015679850559273
14,Canada,81,1.9138138523837167
15,Not reported,96,1.9867717342662448
16,Mexico,72,1.863322860120456
17,Bangladesh,17,1.255272505103306
18,Moldova,2,0.47712125471966244
19,Romania,10,1.0413926851582251
20,Ukraine,11,1.0791812460476249
21,Nigeria,12,1.1139433523068367
22,Cuba,12,1.1139433523068367
23,Lithuania,1,0.3010299956639812
24,Greece,14,1.1760912590556813
25,Belgium,44,1.6532125137753437
26,Poland,15,1.2041199826559248
27,Bulgaria,6,0.8450980400142568
28,Iraq,4,0.6989700043360189
29,Lebanon,4,0.6989700043360189
30,Niger,1,0.3010299956639812
31,Iran,269,2.4313637641589874
32,Israel,37,1.5797835966168101
33,Malaysia,9,1.0
34,Turkey,24,1.3979400086720377
35,Argentina,37,1.5797835966168101
36,Brazil,134,2.130333768495006
37,Colombia,34,1.5440680443502757
38,Denmark,41,1.6232492903979006
39,Egypt,70,1.8512583487190752
40,Russia,50,1.7075701760979363
41,Peru,29,1.4771212547196624
42,Senegal,2,0.47712125471966244
43,Madagascar,1,0.3010299956639812
44,India,178,2.2528530309798933
45,Pakistan,22,1.3617278360175928
46,Australia,52,1.724275869600789
47,Portugal,10,1.0413926851582251
48,Kazakhstan,3,0.6020599913279624
49,Thailand,11,1.0791812460476249
50,Qatar,6,0.8450980400142568
51,Guinea-Bissau,2,0.47712125471966244
52,South Africa,34,1.5440680443502757
53,Ireland,13,1.146128035678238
54,Mongolia,1,0.3010299956639812
55,Norway,7,0.9030899869919435
56,Austria,17,1.255272505103306
57,Indonesia,14,1.1760912590556813
58,Chile,21,1.3424226808222062
59,Saudi Arabia,12,1.1139433523068367
60,Ivory Coast,2,0.47712125471966244
61,Burkina Faso,3,0.6020599913279624
62,Cameroon,2,0.47712125471966244
63,Equatorial Guinea,3,0.6020599913279624
64,Ethiopia,2,0.47712125471966244
65,Ghana,6,0.8450980400142568
66,Kenya,12,1.1139433523068367
67,Mozambique,4,0.6989700043360189
68,Congo,2,0.47712125471966244
69,Sudan,2,0.47712125471966244
70,Uganda,2,0.47712125471966244
71,United Republic Of Tanzania,1,0.3010299956639812
72,Benin,1,0.3010299956639812
73,Rwanda,1,0.3010299956639812
74,United Arab Emirates,4,0.6989700043360189
75,Puerto Rico,3,0.6020599913279624
76,Jordan,6,0.8450980400142568
77,Bahrain,4,0.6989700043360189
78,Finland,4,0.6989700043360189
79,Vietnam,4,0.6989700043360189
80,Panama,3,0.6020599913279624
81,Kuwait,3,0.6020599913279624
82,Croatia,1,0.3010299956639812
83,Hungary,9,1.0
84,New Zealand,4,0.6989700043360189
85,Philippines,12,1.1139433523068367
86,Belarus,1,0.3010299956639812
87,Europe,1,0.3010299956639812
88,Tunisia,6,0.8450980400142568
89,Costa Rica,1,0.3010299956639812
90,Honduras,1,0.3010299956639812
91,Morocco,1,0.3010299956639812
92,Islamic Republic of,1,0.3010299956639812
93,Czech Republic,5,0.7781512503836436
94,Cape Verde,1,0.3010299956639812
95,Venezuela,1,0.3010299956639812
96,Serbia,2,0.47712125471966244
97,Jamaica,1,0.3010299956639812
98,,3,0.6020599913279624
99,Republic of,1,0.3010299956639812
100,Dominican Republic,1,0.3010299956639812
101,Nepal,2,0.47712125471966244
102,Azerbaijan,1,0.3010299956639812
103,Gambia,1,0.3010299956639812
104,Oman,1,0.3010299956639812
105,Russia Federation,1,0.3010299956639812
106,Slovakia,2,0.47712125471966244
107,Russia ,1,0.3010299956639812
108,Czechia,1,0.3010299956639812
109,Slovenia,1,0.3010299956639812
110,Bosnia and Herzegovina,1,0.3010299956639812
111,Ecuador,2,0.47712125471966244
112,Sri Lanka,1,0.3010299956639812
