,0
02/02/2020,6
28/02/2020,5
11/02/2020,5
26/05/2020,16
27/05/2020,13
20/05/2020,9
28/05/2020,13
11/04/2020,13
14/05/2020,15
27/04/2020,19
28/04/2020,10
07/04/2020,27
31/05/2020,6
14/04/2020,28
09/02/2020,3
10/04/2020,20
17/03/2020,4
30/04/2020,14
29/04/2020,22
05/05/2020,18
17/04/2020,25
07/06/2020,1
04/06/2020,20
02/06/2020,14
01/06/2020,15
08/02/2020,2
07/02/2020,2
05/06/2020,6
09/06/2020,15
06/02/2020,5
05/02/2020,2
18/05/2020,14
08/06/2020,3
04/02/2020,6
12/06/2020,10
10/06/2020,5
23/05/2020,3
16/05/2020,6
17/05/2020,4
11/06/2020,26
29/05/2020,11
30/05/2020,3
19/05/2020,10
09/04/2020,22
13/06/2020,2
25/05/2020,3
03/02/2020,3
18/06/2020,9
19/06/2020,9
13/05/2020,17
20/04/2020,31
15/06/2020,3
16/06/2020,12
17/06/2020,12
22/06/2020,10
24/02/2020,7
24/06/2020,20
29/01/2020,3
25/06/2020,7
23/06/2020,11
26/06/2020,8
23/01/2020,2
29/06/2020,9
15/04/2020,25
19/03/2020,4
09/03/2020,5
19/02/2020,8
25/02/2020,4
18/03/2020,3
27/03/2020,15
08/05/2020,32
22/05/2020,6
03/06/2020,2
13/03/2020,5
15/05/2020,14
21/05/2020,7
24/05/2020,2
30/06/2020,12
02/07/2020,11
15/03/2020,1
06/04/2020,19
16/03/2020,6
01/07/2020,7
10/07/2020,15
07/07/2020,18
06/07/2020,2
05/07/2020,3
27/06/2020,4
09/07/2020,8
14/06/2020,1
28/06/2020,5
14/03/2020,3
04/07/2020,3
12/05/2020,17
03/07/2020,1
04/03/2020,1
08/07/2020,5
06/03/2020,4
13/07/2020,14
03/03/2020,5
14/07/2020,10
17/07/2020,8
16/07/2020,8
19/07/2020,4
14/02/2020,6
15/07/2020,8
10/02/2020,1
20/02/2020,3
13/02/2020,3
21/07/2020,12
22/07/2020,20
17/02/2020,2
23/07/2020,8
24/07/2020,6
30/01/2020,1
02/03/2020,3
20/07/2020,14
21/06/2020,1
20/03/2020,3
22/03/2020,2
29/07/2020,3
30/07/2020,8
31/07/2020,7
27/07/2020,11
28/07/2020,3
03/08/2020,3
04/08/2020,11
05/08/2020,9
06/08/2020,8
07/08/2020,5
10/08/2020,6
11/08/2020,10
12/08/2020,10
13/08/2020,10
14/08/2020,8
18/07/2020,2
01/08/2020,1
18/02/2020,6
12/07/2020,2
15/08/2020,2
09/08/2020,1
26/07/2020,1
25/07/2020,5
08/08/2020,1
25/03/2020,12
16/08/2020,2
26/03/2020,14
18/08/2020,10
19/08/2020,7
20/08/2020,9
31/03/2020,35
21/08/2020,6
24/08/2020,10
17/08/2020,4
26/08/2020,18
27/08/2020,8
28/08/2020,15
25/08/2020,3
30/03/2020,20
31/08/2020,12
01/09/2020,10
02/09/2020,12
24/03/2020,13
03/09/2020,10
23/03/2020,5
04/09/2020,2
23/08/2020,4
05/09/2020,1
09/09/2020,17
10/09/2020,4
07/09/2020,10
15/02/2020,7
11/03/2020,2
11/09/2020,5
12/02/2020,3
14/09/2020,10
15/09/2020,5
16/09/2020,10
17/09/2020,5
18/09/2020,5
03/04/2020,18
22/09/2020,10
23/09/2020,8
24/09/2020,4
25/09/2020,6
29/09/2020,10
30/09/2020,7
02/10/2020,7
28/09/2020,4
07/05/2020,23
21/09/2020,1
19/09/2020,2
13/09/2020,3
05/10/2020,9
20/09/2020,1
26/09/2020,1
01/10/2020,3
03/10/2020,2
12/10/2020,9
13/10/2020,5
07/10/2020,4
08/10/2020,6
09/10/2020,9
14/10/2020,4
06/10/2020,4
04/10/2020,1
19/10/2020,15
23/10/2020,8
22/10/2020,11
20/10/2020,9
26/10/2020,6
27/10/2020,12
28/10/2020,10
29/10/2020,10
30/10/2020,6
15/10/2020,4
03/11/2020,7
17/10/2020,1
02/11/2020,8
04/11/2020,6
05/11/2020,4
06/11/2020,8
09/11/2020,7
16/10/2020,1
11/10/2020,2
07/11/2020,2
10/10/2020,1
18/10/2020,2
01/11/2020,1
02/04/2020,21
10/11/2020,9
12/11/2020,9
13/11/2020,5
18/11/2020,6
19/11/2020,13
20/11/2020,4
23/11/2020,14
24/11/2020,9
25/11/2020,11
08/09/2020,1
01/04/2020,20
